Task Category,Complexity,Complexity Value,Experience,Actual Time (hrs)
Backend,High,3,13,4.62
Backend,High,3,14,3.41
Backend,High,3,15,3.92
Browser Integration,Low,1,1,3.96
Browser Integration,Low,1,2,3.59
Browser Integration,Low,1,3,2.82
Browser Integration,Low,1,4,1.75
Browser Integration,Low,1,5,1.85
Browser Integration,Low,1,6,2.22
Browser Integration,Low,1,7,2.73
Browser Integration,Low,1,8,1.96
Browser Integration,Low,1,9,1.62
Browser Integration,Low,1,10,1.61
Browser Integration,Low,1,11,1.59
Browser Integration,Low,1,12,1.61
Browser Integration,Low,1,13,1.11
Browser Integration,Low,1,14,0.92
Browser Integration,Low,1,15,0.61
Browser Integration,Medium,2,1,5.85
Browser Integration,Medium,2,2,6.08
Browser Integration,Medium,2,3,4.87
Browser Integration,Medium,2,4,4.82
Browser Integration,Medium,2,5,5.31
Browser Integration,Medium,2,6,4.84
Browser Integration,Medium,2,7,3.97
Browser Integration,Medium,2,8,4.92
Browser Integration,Medium,2,9,4.38
Browser Integration,Medium,2,10,4.14
Browser Integration,Medium,2,11,2.59
Browser Integration,Medium,2,12,3.24
Browser Integration,Medium,2,13,2.12
Browser Integration,Medium,2,14,2.46
Browser Integration,Medium,2,15,1.8
Browser Integration,High,3,1,13.82
Browser Integration,High,3,2,12.94
Browser Integration,High,3,3,9.36
Browser Integration,High,3,4,11.49
Browser Integration,High,3,5,7.87
Browser Integration,High,3,6,10.16
Browser Integration,High,3,7,7.85
Browser Integration,High,3,8,8.31
Browser Integration,High,3,9,7.67
Browser Integration,High,3,10,5.77
Browser Integration,High,3,11,5.71
Browser Integration,High,3,12,4.63
Browser Integration,High,3,13,3.69
Browser Integration,High,3,14,4.88
Browser Integration,High,3,15,2.74
Automation,Low,1,1,3.15
Automation,Low,1,2,2.19
Automation,Low,1,3,3.56
Automation,Low,1,4,3.32
Automation,Low,1,5,1.77
Automation,Low,1,6,1.99
Automation,Low,1,7,2.73
Automation,Low,1,8,2.11
Automation,Low,1,9,2.28
Automation,Low,1,10,1.69
Automation,Low,1,11,1.09
Automation,Low,1,12,1.79
Automation,Low,1,13,1.31
Automation,Low,1,14,1.15
Automation,Low,1,15,1.08
Automation,Medium,2,1,7.42
Automation,Medium,2,2,6.61
Automation,Medium,2,3,5.66
Automation,Medium,2,4,5.3
Automation,Medium,2,5,4.57
Automation,Medium,2,6,4.07
Automation,Medium,2,7,4.09
Automation,Medium,2,8,3.92
Automation,Medium,2,9,4.44
Automation,Medium,2,10,4.06
Automation,Medium,2,11,3.41
Automation,Medium,2,12,2.41
Automation,Medium,2,13,2.39
Automation,Medium,2,14,2.05
Automation,Medium,2,15,1.66
Automation,High,3,1,13.45
Automation,High,3,2,11.08
Automation,High,3,3,11.82
Automation,High,3,4,10.34
Automation,High,3,5,7.24
Automation,High,3,6,7.82
Automation,High,3,7,7.5
Automation,High,3,8,7.53
Automation,High,3,9,5.72
Automation,High,3,10,6.68
Automation,High,3,11,6.17
Automation,High,3,12,5.04
Automation,High,3,13,4.23
Automation,High,3,14,3.36
Automation,High,3,15,3.26
AI Integration,Low,1,1,2.99
AI Integration,Low,1,2,1.96
AI Integration,Low,1,3,3.59
AI Integration,Low,1,4,2.34
AI Integration,Low,1,5,2.42
AI Integration,Low,1,6,2.74
AI Integration,Low,1,7,2.67
AI Integration,Low,1,8,2.15
AI Integration,Low,1,9,1.24
AI Integration,Low,1,10,1.49
AI Integration,Low,1,11,1.89
AI Integration,Low,1,12,1.18
AI Integration,Low,1,13,0.97
AI Integration,Low,1,14,1.2
AI Integration,Low,1,15,1.05
AI Integration,Medium,2,1,5.92
AI Integration,Medium,2,2,7.39
AI Integration,Medium,2,3,6.67
AI Integration,Medium,2,4,5.93
AI Integration,Medium,2,5,4.43
AI Integration,Medium,2,6,3.88
AI Integration,Medium,2,7,5.21
AI Integration,Medium,2,8,3.42
AI Integration,Medium,2,9,3.72
AI Integration,Medium,2,10,4.28
AI Integration,Medium,2,11,2.94
AI Integration,Medium,2,12,3.04
AI Integration,Medium,2,13,2.43
AI Integration,Medium,2,14,1.91
AI Integration,Medium,2,15,2.27
AI Integration,High,3,1,13.02
AI Integration,High,3,2,10.81
AI Integration,High,3,3,11.15
AI Integration,High,3,4,9.48
AI Integration,High,3,5,10.16
AI Integration,High,3,6,9.66
AI Integration,High,3,7,7.24
AI Integration,High,3,8,6.69
AI Integration,High,3,9,7.57
AI Integration,High,3,10,5.17
AI Integration,High,3,11,6.12
AI Integration,High,3,12,5.47
AI Integration,High,3,13,3.82
AI Integration,High,3,14,4.29
AI Integration,High,3,15,3.85
